HomeTeam,AwayTeam,FTHG,FTAG,FTR,TotalHomeMatches,TotalAwayMatches,TotalHomeGoals,TotalAwayGoals,TotalHomeConceded,TotalAwayConceded,TotalHomePoints,TotalAwayPoints,AverageHomeGoalsScored,AverageAwayGoalsScored,AverageHomeGoalsConceded,AverageAwayGoalsConceded,AverageHomePoints,AverageAwayPoints,AverageHomeGoalsScoredLast6,AverageAwayGoalsScoredLast6,AverageHomeGoalsConcededLast6,AverageAwayGoalsConcededLast6,AverageHomePointsLast6,AverageAwayPointsLast6,HistoricalAvgHomePoints,HistoricalAvgAwayPoints,IsItEliteHome,IsItEliteAway
Bournemouth,Man United,2,1,H,15,15,18,20,30,10,13,29,1.2,1.3333333333333333,2.0,0.6666666666666666,0.8666666666666667,1.9333333333333333,1.1666666666666667,0.8333333333333334,2.1666666666666665,0.3333333333333333,0.8333333333333334,1.6666666666666667,0.0,81.42857142857143,0,1
Crystal Palace,Southampton,1,0,H,15,15,20,21,15,18,23,21,1.3333333333333333,1.4,1.0,1.2,1.5333333333333334,1.4,1.3333333333333333,1.0,0.8333333333333334,1.0,1.3333333333333333,1.3333333333333333,40.8,46.5,0,0
Man City,Swansea,2,1,H,15,15,30,14,16,22,29,14,2.0,0.9333333333333333,1.0666666666666667,1.4666666666666666,1.9333333333333333,0.9333333333333333,1.0,0.6666666666666666,1.3333333333333333,1.8333333333333333,1.3333333333333333,0.6666666666666666,57.8125,47.75,1,0
Norwich,Everton,1,1,D,15,15,17,28,27,20,13,22,1.1333333333333333,1.8666666666666667,1.8,1.3333333333333333,0.8666666666666667,1.4666666666666666,0.5,2.6666666666666665,1.1666666666666667,1.5,0.6666666666666666,1.5,40.0,53.285714285714285,0,0
Sunderland,Watford,0,1,A,15,15,17,17,29,16,12,22,1.1333333333333333,1.1333333333333333,1.9333333333333333,1.0666666666666667,0.8,1.4666666666666666,1.5,1.8333333333333333,1.6666666666666667,1.0,1.5,2.0,39.642857142857146,26.0,0,0
West Ham,Stoke,0,0,D,15,15,25,13,21,14,23,22,1.6666666666666667,0.8666666666666667,1.4,0.9333333333333333,1.5333333333333334,1.4666666666666666,0.8333333333333334,0.6666666666666666,1.5,0.6666666666666666,1.0,1.6666666666666667,46.94444444444444,47.0,0,0
Aston Villa,Arsenal,0,2,A,15,15,13,27,28,13,6,30,0.8666666666666667,1.8,1.8666666666666667,0.8666666666666667,0.4,2.0,0.8333333333333334,1.8333333333333333,2.1666666666666665,1.0,0.3333333333333333,1.8333333333333333,51.19047619047619,73.76190476190476,0,1
Liverpool,West Brom,2,2,D,15,15,18,14,17,19,23,19,1.2,0.9333333333333333,1.1333333333333333,1.2666666666666666,1.5333333333333334,1.2666666666666666,1.6666666666666667,1.1666666666666667,1.1666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,67.71428571428571,38.333333333333336,1,0
Tottenham,Newcastle,1,2,A,15,15,25,16,12,30,26,13,1.6666666666666667,1.0666666666666667,0.8,2.0,1.7333333333333334,0.8666666666666667,2.3333333333333335,0.6666666666666666,0.8333333333333334,1.8333333333333333,2.0,1.1666666666666667,56.523809523809526,53.45,1,0
Leicester,Chelsea,2,1,H,15,15,32,17,21,24,32,15,2.1333333333333333,1.1333333333333333,1.4,1.6,2.1333333333333333,1.0,2.1666666666666665,0.5,0.6666666666666666,1.1666666666666667,2.6666666666666665,0.6666666666666666,42.55555555555556,73.28571428571429,0,1
